specid,ra,dec,plate,mjd,fiberid,z,zErr,snMedian_r,d4000_n,d4000_n_err
221,172.84072,0.75160801,281,51614,581,0.3099823,5.725923E-005,12.03886,1.947038,0.05251033
222,174.72143,-1.0797825,282,51658,3,0.3546678,9.605466E-005,7.424289,1.956373,0.08776433
223,173.84561,-1.255476,282,51658,123,0.3202149,8.486926E-005,10.13841,2.078138,0.07700333
224,173.8728,-0.88106878,282,51658,140,0.3434813,8.493515E-005,10.69481,1.751264,0.05243895
225,173.64421,-0.28181147,282,51658,182,0.3393626,8.495223E-005,7.225276,1.926253,0.0749418
226,173.78488,-0.72835665,282,51658,187,0.3758339,9.475226E-005,6.501694,1.662369,0.08101013
227,173.62998,-0.31111819,282,51658,194,0.3405881,6.430923E-005,9.971235,2.038164,0.0617191
228,173.35958,-0.2098277,282,51658,224,0.3338675,8.896025E-005,6.930954,1.762846,0.0720286
229,173.03638,-1.2559392,282,51658,241,0.3238173,9.771971E-005,6.783839,2.142766,0.1199219
230,172.8723,-0.48458737,282,51658,271,0.3247925,6.437916E-005,8.732299,2.200612,0.1175478
231,172.55717,0.10768807,282,51658,349,0.3630798,0.000075964,8.91328,1.899448,0.07517885
232,173.30473,1.0365673,282,51658,362,0.3405702,0.0001167115,5.742409,2.079227,0.153599
233,173.2642,0.92424274,282,51658,378,0.3411288,9.978057E-005,7.164797,2.037552,0.100584
234,173.41971,1.0862924,282,51658,401,0.3408707,6.764576E-005,9.562572,2.083418,0.07746731
235,173.66585,0.79502029,282,51658,448,0.3157295,7.291291E-005,7.480515,1.726986,0.07784509
236,173.53845,0.56919488,282,51658,465,0.3179343,8.90378E-005,8.027552,1.78319,0.07864182
237,173.87054,0.77309272,282,51658,531,0.3869398,0.0001196598,5.038595,2.11499,0.1349745
238,173.90486,0.74512671,282,51658,534,0.3881651,7.990692E-005,8.562885,1.976529,0.08082733
239,174.39036,0.17184317,282,51658,548,0.3476172,9.036712E-005,10.43921,2.091372,0.06792822
240,174.39071,0.23353764,282,51658,549,0.345707,0.000095153,7.622087,1.808547,0.08006724
241,174.85784,0.08524596,282,51658,588,0.3414983,6.220871E-005,10.42785,1.983442,0.06489503
242,174.78541,0.79178124,282,51658,605,0.3853323,8.731339E-005,7.232824,1.715405,0.09029736
243,174.92834,0.7622072,282,51658,606,0.3534404,0.0001054224,8.540558,1.949815,0.08121392
244,176.41237,-0.97200421,283,51959,100,0.375403,6.274767E-005,10.0254,1.84324,0.0505058
245,176.27783,-0.36638129,283,51959,173,0.3501669,8.102076E-005,7.727201,1.817462,0.0701097
246,176.03184,-1.1421052,283,51959,219,0.3514703,6.516837E-005,10.31289,2.007309,0.06487269
247,175.84645,-0.474353,283,51959,239,0.3499414,7.248914E-005,9.879671,1.879973,0.06239498
248,175.36697,-0.291768,283,51959,270,0.350134,0.000064499,11.39983,1.962379,0.05198305
249,175.29954,-0.40875521,283,51959,273,0.351074,0.000065108,9.070987,1.940407,0.07292208
250,174.92471,0.76237598,283,51959,334,0.3572743,9.08519E-005,7.858461,1.963835,0.07841444
251,174.98533,0.98752721,283,51959,336,0.3984367,0.0001023241,5.467711,1.7434,0.08805455
252,175.79575,0.97110357,283,51959,445,0.3659661,8.17261E-005,6.533583,1.885748,0.08659376
253,175.84813,0.95313228,283,51959,449,0.4060765,0.0001176209,5.796187,1.899303,0.08974179
254,175.81728,0.87106595,283,51959,452,0.3658191,0.0001220918,5.668465,1.97048,0.109296
255,175.84551,0.012344866,283,51959,479,0.3273445,6.584081E-005,13.05197,1.875899,0.04867698
256,176.49808,0.28777824,283,51959,507,0.3647932,8.726569E-005,7.236784,1.893803,0.08623733
257,176.67171,0.94743978,283,51959,578,0.3797644,0.0001156628,6.215868,2.047416,0.1088966
258,178.8729,-1.1398148,284,51943,2,0.4067098,0.0001202849,5.787832,1.931989,0.09780357
259,178.92206,-0.88576212,284,51943,12,0.3393581,0.000076706,7.04282,1.904198,0.08589648
260,178.166,-0.82484275,284,51943,138,0.3417256,7.152905E-005,8.477283,2.010355,0.07905115
261,177.7508,-0.8492498,284,51943,213,0.3882649,0.0001010655,5.449758,1.692337,0.08772215
262,177.93404,-0.59254141,284,51943,223,0.322688,6.463483E-005,9.354804,1.978899,0.06848809
263,177.33941,1.1814711,284,51943,330,0.3848107,9.991426E-005,6.132132,1.800731,0.08735303
264,178.04895,-0.076455572,284,51943,475,0.3747645,8.958526E-005,6.641842,1.905256,0.0907417
265,178.13773,-0.18526229,284,51943,476,0.3745182,8.19593E-005,7.506403,1.894791,0.07877596
266,180.34732,-1.1566972,285,51930,8,0.3954042,9.876055E-005,6.172531,2.039552,0.0869766
267,180.7149,-0.95371937,285,51930,11,0.3776813,8.526063E-005,6.883241,1.936903,0.08881044
268,180.91831,-0.14111904,285,51930,32,0.3266493,7.20389E-005,9.464006,1.767734,0.06271445
269,180.51195,-0.70474461,285,51930,66,0.4044918,0.0001124564,5.127159,1.960509,0.1052824
270,180.53922,-0.7378423,285,51930,70,0.3258387,6.230393E-005,9.984283,1.845666,0.05670109
271,180.41831,-0.24908595,285,51930,104,0.3683155,8.620365E-005,8.052732,1.995584,0.08003686
272,179.593,-1.0275799,285,51930,137,0.3552838,7.28307E-005,7.931755,1.927322,0.0771741
273,179.7563,-0.91974198,285,51930,138,0.3499864,0.0001151389,7.114915,1.829791,0.07141493
274,180.17914,-0.64482854,285,51930,152,0.3797264,6.859958E-005,8.623154,1.69974,0.0506249
275,180.16959,-0.38365242,285,51930,156,0.3783232,9.607587E-005,6.213043,1.965104,0.08741159
